Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
MUS81	RAD55	ZEOC	CSPL	-3.94998676843408	-11.7829782580096	-0.0434805552040245	-0.29361639793853	NEUTRAL	AGGRAVATING	9.18208129235027	0.250135842734506	8.31525218153678e-05
RAD5	RAD55	ZEOC	CSPL	-4.85782895060034	-36.9976474293291	-0.0420940247917932	-0.55354774642358	NEUTRAL	AGGRAVATING	29.5811960318975	0.511453721631787	6.83005660432884e-41
PSY3	RAD57	ZEOC	CSPL	-12.6022451927233	0.8638117067874	-0.27469893932827	0.0171645548596391	AGGRAVATING	NEUTRAL	-9.89520469076138	-0.291863494187909	5.19437842561336e-05
CSM2	RAD61	ZEOC	CSPL	-9.28425252544749	-2.7251040442693	-0.989586072318121	-0.0409993967295388	AGGRAVATING	NEUTRAL	-8.81224361234563	-0.948586675588582	0.000416311535910051
CSM3	RAD61	ZEOC	CSPL	-6.45341085651958	-24.9294516259357	-0.0605007408109577	-0.536930408204864	NEUTRAL	AGGRAVATING	20.2823107820218	0.476429667393907	6.24491876955988e-20
RAD51	RAD61	ZEOC	CSPL	-7.61377373131973	-13.0162140206675	-0.105616187462353	-0.358462863121867	NEUTRAL	AGGRAVATING	8.19971507304931	0.252846675659514	0.000525060337516699
CLA4	RTT101	ZEOC	CSPL	-6.97246462889734	-21.3048126934638	-0.0515061514850193	-0.374493812332669	NEUTRAL	AGGRAVATING	16.9395943589161	0.32298766084765	3.97848047808751e-14
MMS1	RTT107	ZEOC	CSPL	-5.96208148928699	-16.8034194430602	-0.059770460432972	-0.297811482238579	NEUTRAL	AGGRAVATING	11.6903727391122	0.238041021805607	2.68835729595052e-07
RAD51	RTT107	ZEOC	CSPL	-7.85538978620019	-18.1853239818831	-0.0797754958931168	-0.442396652057731	NEUTRAL	AGGRAVATING	13.7555644352714	0.362621156164615	9.67243815940031e-10
RTT101	RTT107	ZEOC	CSPL	-5.39896198550529	-25.8751827322854	-0.041019017437339	-0.554580931538139	NEUTRAL	AGGRAVATING	22.5843839458114	0.5135619141008	2.51374449250499e-24
MAG1	SGS1	ZEOC	CSPL	-1.8257824385873	-9.46524366897253	-0.0163656971499652	-0.128194404342841	NEUTRAL	AGGRAVATING	6.88546368443691	0.111828707192876	0.00436203002614653
MMS1	SGS1	ZEOC	CSPL	-2.92066443362873	-17.7971287736617	-0.0250652111977819	-0.243498590804197	NEUTRAL	AGGRAVATING	13.5246877294715	0.218433379606415	1.85357918580024e-09
MUS81	SGS1	ZEOC	CSPL	-10.8624103510668	-16.9125751173009	-0.144805036411133	-0.795272654107859	NEUTRAL	AGGRAVATING	13.3086131750443	0.650467617696726	3.36991196484664e-09
RAD18	SGS1	ZEOC	CSPL	6.68557057181745	19.1870467194527	0.0587373752327436	0.210203119870607	NEUTRAL	ALLEVIATING	-10.7857199609278	-0.151465744637863	7.5800500640871e-06
RAD5	SGS1	ZEOC	CSPL	5.10390304145879	16.1668995887997	0.0433202075247377	0.16817526525191	NEUTRAL	ALLEVIATING	-9.2996582583983	-0.124855057727173	0.000168764613089184
RAD51	SGS1	ZEOC	CSPL	3.01900063714195	11.5866047122528	0.0263299218949182	0.145046065507638	NEUTRAL	ALLEVIATING	-7.7811296023361	-0.11871614361272	0.00237889876025333
RAD54	SGS1	ZEOC	CSPL	1.7452785995391	19.7079108672727	0.0116877098819753	0.17618932668278	NEUTRAL	ALLEVIATING	-14.7269841333123	-0.164501616800805	2.19338825398364e-10
RAD55	SGS1	ZEOC	CSPL	5.43379001517559	13.2025977984348	0.0451276123704791	0.148232400126635	NEUTRAL	ALLEVIATING	-7.38291673617749	-0.103104787756156	0.00431242219642588
MMS1	SHU1	ZEOC	CSPL	-27.0550129638051	-0.0483493793587002	-0.234023078144996	-0.000431420829585311	AGGRAVATING	NEUTRAL	-18.7964949947561	-0.23359165731541	2.14296481614863e-16
MMS4	SHU1	ZEOC	CSPL	-22.9102860230113	-3.51815228521438	-0.195582412604829	-0.0322266510209933	AGGRAVATING	NEUTRAL	-13.046106908556	-0.163355761583836	2.69616765409288e-08
MUS81	SHU1	ZEOC	CSPL	-1.8290118607433	-25.0384397333072	-0.0164859738843288	-0.457518785339334	NEUTRAL	AGGRAVATING	21.645932624552	0.441032811455005	1.61618198139223e-22
CSM2	SLX4	ZEOC	CSPL	-17.6416025070975	-0.0434899838818598	-0.200063825071603	-0.000492085761709635	AGGRAVATING	NEUTRAL	-12.4578313967425	-0.199571739309893	1.29390558580029e-07
PSY3	SLX4	ZEOC	CSPL	-19.6142470947208	1.01239542922339	-0.290086495203271	0.0120607115538876	AGGRAVATING	NEUTRAL	-15.9101477829444	-0.302147206757158	5.73044952186666e-12
SHU1	SLX4	ZEOC	CSPL	-16.3072937642905	-1.22887710961061	-0.205129382436786	-0.0137013332765797	AGGRAVATING	NEUTRAL	-11.3884373413112	-0.191428049160206	1.8593753321301e-06
SHU2	SLX4	ZEOC	CSPL	-28.9669937313006	-0.933843108407341	-0.4311284052373	-0.0124520299086162	AGGRAVATING	NEUTRAL	-20.951714747141	-0.418676375328684	2.98415992170561e-20
MUS81	SRS2	ZEOC	CSPL	-5.68884084853871	-31.5962005304113	-0.0508204923594868	-0.445643449393379	NEUTRAL	AGGRAVATING	23.6485671942642	0.394822957033892	1.5260892726425e-26
RAD18	SRS2	ZEOC	CSPL	-0.422247151354942	9.13016749935641	-0.00519369419030291	0.127942258734535	NEUTRAL	ALLEVIATING	-7.1403140695229	-0.133135952924838	0.00609232192620955
RAD55	SRS2	ZEOC	CSPL	3.54999123701113	13.9369710725032	0.0247915702196027	0.114721939797136	NEUTRAL	ALLEVIATING	-8.33090836427128	-0.0899303695775338	0.000945026741291424
RAD61	SRS2	ZEOC	CSPL	0.0907678470203017	-17.4651705383375	0.000938538338133542	-0.539369539900825	NEUTRAL	AGGRAVATING	16.590351686992	0.540308078238958	1.21328296164003e-13
CLA4	CSM2	HYDX	DMSO	-19.7467293933708	3.68109558007118	-0.898157748607578	0.0233218554391399	AGGRAVATING	NEUTRAL	-20.0657519392462	-0.921479604046718	1.15874627858604e-17
CLA4	MMS1	HYDX	DMSO	3.13396982801352	-9.4571107170701	0.0278227610825001	-0.0900860800586134	NEUTRAL	AGGRAVATING	9.05504699366918	0.117908841141114	0.000254788489861541
CSM3	MPH1	HYDX	DMSO	11.9839142075401	1.35695488386599	0.131276917736164	0.0140648689870143	ALLEVIATING	NEUTRAL	7.77222453436812	0.117212048749149	0.00196996791898979
MMS1	MPH1	HYDX	DMSO	9.19117337721587	-3.88099548405758	0.133778662824387	-0.0669839864271318	ALLEVIATING	NEUTRAL	8.89217365669476	0.200762649251519	0.000332643091369703
