Barcode_x	Barcode_y	C_xy.HetDipl	C_xy.NoDrug	C_xy.DMSO	C_xy.MMS	C_xy.4NQO	C_xy.BLMC	C_xy.ZEOC	C_xy.HYDX	C_xy.DXRB	C_xy.CMPT	C_xy.CSPL	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_x	Type_of_gene_y	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS
MAG1_donor_1	APT2_recipient_1	2503	1996	1950	849	2082	2465	1813	2056	1857	2945	2117	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	GAL2_recipient_1	1429	1487	1423	764	1549	1511	1414	1577	1556	2084	1440	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	HO_recipient_1	2435	3299	3273	1573	3778	1443	4802	2888	2499	4287	2670	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	HO_recipient_2	2494	3340	3562	1897	3633	2470	4417	2327	3317	5449	3386	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	MAG1_recipient_1	304	4	4	1	5	2	5	4	4	5	3	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA
MAG1_donor_1	MAL13_recipient_1	2048	1527	1487	752	1835	1393	1705	1624	1629	2490	1516	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	MMS1_recipient_1	416	242	195	73	141	344	280	322	192	52	320	NA	no	DNA_repair	DNA_repair	0.050769	0.129068	ALLEVIATING	ALLEVIATING
MAG1_donor_1	MMS4_recipient_1	652	429	457	154	328	585	531	480	241	119	425	NA	no	DNA_repair	DNA_repair	-0.007781	-0.075603	NEUTRAL	AGGRAVATING
MAG1_donor_1	MPH1_recipient_1	528	205	155	15	181	74	290	82	91	180	232	NA	no	DNA_repair	DNA_repair	-0.010536	-0.179167	NEUTRAL	AGGRAVATING
MAG1_donor_1	MUS81_recipient_1	223	110	143	47	85	152	164	114	24	0	120	NA	no	DNA_repair	DNA_repair	0.011532	-0.07036	NEUTRAL	AGGRAVATING
MAG1_donor_1	NGL3_recipient_1	10716	11319	11542	5845	14434	9932	9059	10811	10873	12448	10790	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	CLA4_recipient_1	951	580	600	224	490	434	0	0	0	203	0	NA	no	DNA_repair	DNA_repair	0.057002	-0.040853	ALLEVIATING	AGGRAVATING
MAG1_donor_1	NGL3_recipient_2	1889	2892	2712	1497	3103	1816	2537	2315	2253	3116	2024	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	PSY3_recipient_1	1567	1920	1870	100	1585	1599	2136	1601	1919	1909	1920	NA	no	DNA_repair	DNA_repair	0.014564	-0.153914	NEUTRAL	AGGRAVATING
MAG1_donor_1	PSY3_recipient_2	4365	3055	2880	15	2640	2618	3908	3341	2787	2941	3011	NA	no	DNA_repair	DNA_repair	0.014564	-0.153914	NEUTRAL	AGGRAVATING
MAG1_donor_1	RAD18_recipient_1	331	87	73	78	0	165	67	64	103	199	0	NA	no	DNA_repair	DNA_repair	-0.039077	0.008241	AGGRAVATING	NEUTRAL
MAG1_donor_1	RAD18_recipient_2	1598	555	530	316	55	1312	1424	1101	1181	1617	40	NA	no	DNA_repair	DNA_repair	-0.039077	0.008241	AGGRAVATING	NEUTRAL
MAG1_donor_1	RAD51_recipient_1	305	114	112	5	102	209	170	210	95	91	128	103964	no	DNA_repair	DNA_repair	0.009276	-0.184353	NEUTRAL	AGGRAVATING
MAG1_donor_1	RAD52_recipient_1	161	73	59	32	54	159	208	197	93	85	107	NA	no	DNA_repair	DNA_repair	0.00972	-0.055203	NEUTRAL	NEUTRAL
MAG1_donor_1	RAD54_recipient_1	166	46	45	5	32	194	173	162	93	40	87	NA	no	DNA_repair	DNA_repair	0.01471	-0.170539	NEUTRAL	AGGRAVATING
MAG1_donor_1	RAD54_recipient_2	1786	652	521	65	376	1281	927	1086	263	284	655	NA	no	DNA_repair	DNA_repair	0.01471	-0.170539	NEUTRAL	AGGRAVATING
MAG1_donor_1	RAD55_recipient_1	645	128	127	5	10	251	131	208	0	36	83	NA	no	DNA_repair	DNA_repair	-0.003465	-0.214018	NEUTRAL	AGGRAVATING
MAG1_donor_1	CSM2_recipient_1	1052	1070	940	75	890	793	1162	851	990	1207	867	NA	no	DNA_repair	DNA_repair	0.036377	-0.240259	ALLEVIATING	AGGRAVATING
MAG1_donor_1	RAD57_recipient_1	783	270	260	10	417	1140	649	990	226	258	631	NA	no	DNA_repair	DNA_repair	-0.01554	-0.195307	NEUTRAL	AGGRAVATING
MAG1_donor_1	RAD59_recipient_1	3550	3100	3102	760	3508	2516	2746	2843	2977	0	3218	NA	no	DNA_repair	DNA_repair	0.012644	-0.105375	NEUTRAL	NEUTRAL
MAG1_donor_1	RAD5_recipient_1	743	565	490	183	150	646	504	396	298	404	272	NA	no	DNA_repair	DNA_repair	0.025659	0.020384	NEUTRAL	ALLEVIATING
MAG1_donor_1	RAD5_recipient_2	3631	2392	2131	679	816	3088	2180	2670	2572	2737	2229	NA	no	DNA_repair	DNA_repair	0.025659	0.020384	NEUTRAL	ALLEVIATING
MAG1_donor_1	RAD61_recipient_1	842	661	680	211	689	1093	1496	957	792	0	488	NA	no	DNA_repair	DNA_repair	0.002503	-0.079668	NEUTRAL	AGGRAVATING
MAG1_donor_1	RTT101_recipient_1	618	87	100	64	95	226	307	349	92	34	162	NA	no	DNA_repair	DNA_repair	-0.009653	0.060716	NEUTRAL	NEUTRAL
MAG1_donor_1	RTT101_recipient_2	398	137	122	60	109	249	238	264	88	0	179	NA	no	DNA_repair	DNA_repair	-0.009653	0.060716	NEUTRAL	NEUTRAL
MAG1_donor_1	RTT107_recipient_1	260	185	140	20	168	371	472	396	261	70	331	NA	no	DNA_repair	DNA_repair	-0.007489	-0.140162	NEUTRAL	AGGRAVATING
MAG1_donor_1	SGS1_recipient_1	1531	647	884	100	422	1295	1369	1107	480	244	195	NA	no	DNA_repair	DNA_repair	0.000601	-0.129287	NEUTRAL	AGGRAVATING
MAG1_donor_1	SHU1_recipient_1	1330	1145	915	70	665	830	1124	855	1319	1497	935	NA	no	DNA_repair	DNA_repair	-0.011899	-0.160333	NEUTRAL	AGGRAVATING
MAG1_donor_1	CSM2_recipient_2	1612	2660	2465	210	2330	999	1837	1506	2727	2439	2200	NA	no	DNA_repair	DNA_repair	0.036377	-0.240259	ALLEVIATING	AGGRAVATING
MAG1_donor_1	SHU1_recipient_2	1070	940	1030	85	990	768	1182	965	1115	1346	985	NA	no	DNA_repair	DNA_repair	-0.011899	-0.160333	NEUTRAL	AGGRAVATING
MAG1_donor_1	SHU2_recipient_1	2449	1575	1250	10	1130	1876	2683	2408	1723	2106	1644	NA	no	DNA_repair	DNA_repair	0.02418	-0.16853	NEUTRAL	AGGRAVATING
MAG1_donor_1	SHU2_recipient_2	2691	2335	2335	150	2360	2631	3235	2869	1982	2891	2565	NA	no	DNA_repair	DNA_repair	0.02418	-0.16853	NEUTRAL	AGGRAVATING
MAG1_donor_1	SLX4_recipient_1	2274	2395	2095	120	2040	1686	1627	1483	1674	1376	1575	NA	no	DNA_repair	DNA_repair	0.026063	-0.223679	NEUTRAL	AGGRAVATING
MAG1_donor_1	SRS2_recipient_1	985	655	770	248	444	500	938	566	274	0	480	NA	no	DNA_repair	DNA_repair	0.017023	-0.031705	NEUTRAL	NEUTRAL
MAG1_donor_1	SRS2_recipient_2	1401	1105	1545	458	653	1038	1582	638	899	349	927	NA	no	DNA_repair	DNA_repair	0.017023	-0.031705	NEUTRAL	NEUTRAL
MAG1_donor_1	YBR259W_recipient_1	4620	4794	4616	2469	5327	3633	4340	4695	4721	5423	4300	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YCL047C_recipient_1	1205	661	657	394	794	905	800	712	1049	1132	946	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YDL027C_recipient_1	1651	1361	1358	722	1447	1343	1654	1600	1668	2217	1258	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YDL027C_recipient_2	2534	2771	2525	1334	3157	2395	2455	2207	2633	3555	2405	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	CSM3_recipient_1	1706	840	765	280	449	1082	1086	721	597	456	615	NA	no	DNA_repair	DNA_repair	0.033516	-0.031771	NEUTRAL	NEUTRAL
MAG1_donor_1	YFR057W_recipient_1	3500	3018	3148	1711	3632	1654	3241	2638	3284	5129	2573	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YKR011C_recipient_1	1492	2048	1936	1032	2370	1601	2356	1817	2099	2440	2098	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YKR011C_recipient_2	1563	1618	1591	865	1750	1457	1844	1500	1880	2777	1557	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YLR179C_recipient_1	1429	2106	2218	1103	2469	1339	1356	1868	2166	2711	1829	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YLR179C_recipient_2	2099	2412	2275	1258	2441	1812	2090	2275	2348	3253	2227	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
MAG1_donor_1	YLR356W_recipient_1	4061	3234	3189	1802	4085	1246	2337	2584	3505	3875	2963	NA	no	DNA_repair	Neutral	NA	NA	NA	NA
