Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaZ_FDR
MMS4_donor_2	RAD18_recipient_1	NoDrug	MMS	-13.6409690638398	5.32223920640229	AGGRAVATING	ALLEVIATING	-18.9632082702421	1.61237797836192e-64
MMS4_donor_2	RAD18_recipient_2	NoDrug	MMS	-22.7013306687304	6.49610196525555	AGGRAVATING	ALLEVIATING	-29.1974326339859	6.3182505216428e-151
MMS4_donor_2	RAD52_recipient_1	NoDrug	MMS	0.409625247980415	6.09864432014674	NEUTRAL	ALLEVIATING	-5.68901907216632	1.14376103305606e-06
MMS4_donor_2	RAD54_recipient_1	NoDrug	MMS	2.09043748277744	7.26237950894564	NEUTRAL	ALLEVIATING	-5.1719420261682	1.18285989854035e-05
MMS4_donor_2	RAD54_recipient_2	NoDrug	MMS	3.49821333169285	9.84535249901541	NEUTRAL	ALLEVIATING	-6.34713916732256	4.45579737433274e-08
MMS4_donor_2	RAD57_recipient_1	NoDrug	MMS	1.50705810185243	6.34175780237168	NEUTRAL	ALLEVIATING	-4.83469970051924	4.61438156068555e-05
MMS4_donor_2	RAD59_recipient_1	NoDrug	MMS	3.22003608973824	6.75944605796692	NEUTRAL	ALLEVIATING	-3.53940996822868	0.00375111918846513
MMS4_donor_2	RAD5_recipient_1	NoDrug	MMS	-19.3667456636729	6.05189348092062	AGGRAVATING	ALLEVIATING	-25.4186391445935	7.92270592097913e-115
MMS4_donor_2	RAD5_recipient_2	NoDrug	MMS	-20.439104139719	7.90674617597608	AGGRAVATING	ALLEVIATING	-28.3458503156951	1.87368253707403e-142
MPH1_donor_1	RAD54_recipient_2	NoDrug	MMS	2.06958408213282	4.68527162711362	NEUTRAL	ALLEVIATING	-2.6156875449808	0.0337183458370987
MPH1_donor_1	RAD55_recipient_1	NoDrug	MMS	0.345607351836781	5.12363574044333	NEUTRAL	ALLEVIATING	-4.77802838860655	5.7879621040724e-05
MPH1_donor_1	CSM2_recipient_2	NoDrug	MMS	0.269589677963312	4.5581929770059	NEUTRAL	ALLEVIATING	-4.28860329904259	0.000354755752525534
